映画名,公開年,評価,ID,原題,IMDb
ファイヤー・ストーム,2013,2.5,81082,風暴 Fire Storm,-
ミッション：インポッシブル／ファイナル・レコニング,2025,4.0,102868,Mission: Impossible - The Final Reckoning,7.2
レインメーカー,1997,3.7,50811,The Rainmaker,7.2
ラッシュアワー,1998,3.4,50540,Rush Hour,7.1
ラッシュアワー2,2001,3.0,1160,Rush Hour 2,6.7
ラッシュアワー3,2007,3.3,34137,Rush Hour 3,6.3
劇場版「きのう何食べた？」,2021,4.0,92882,,
Diner ダイナー,2019,2.9,89196,,
アイム・スティル・ヒア,2024,3.8,102162,Ainda estou aqui,8.1
モーターサイクル・ダイアリーズ,2004,3.8,1547,The Motorcycle Diaries,7.7
バック・トゥ・ザ・フューチャー,1985,4.6,47965,Back to the Future,8.5
バック・トゥ・ザ・フューチャー PART2,1989,4.2,47966,Back to the Future Part II,7.8
バック・トゥ・ザ・フューチャー PART3,1990,4.1,47967,Back to the Future Part III,7.5
美女と野獣,2017,4.0,83472,Beauty and the Beast,7.1
ちはやふる−上の句－,2016,3.9,82125,,
ちはやふる−下の句－,2016,3.7,82380,,
ちはやふる−結び－,2018,4.3,86988,,
ビーキーパー,2024,3.8,101062,The Beekeeper,6.3
AI崩壊,2020,3.0,90456,,
レインマン,1988,3.8,32157,Rain Man,8.0
劇場版プロジェクトセカイ 壊れたセカイと歌えないミク,2025,3.3,102194,,
デビルズ・バス,2024,3.2,101114,Des Teufels Bad,6.6
ビートルジュース,1988,3.4,25497,Beetlejuice,7.4
DREAMS,2024,3.8,103466,Drømmer,7.2
LOVE,2024,4.0,102155,Kjærlighet,7.1
ロボット・ドリームズ,2023,3.9,100268,Robot Dreams,7.6
劇場版 SPEC〜天〜,2012,3.0,56856,,
私たちは天国には行けないけど、愛することはできる,2023,3.3,103189,"No Heaven, But Love",7.8
DROP／ドロップ,2025,3.4,103746,Drop,6.1
映画「おいハンサム！！」,2024,3.6,101127,,
ロスト・フライト,2022,3.8,98666,Plane,6.5
レディ・プレイヤー1,2018,3.8,84003,Ready Player One,7.4
プラトーン,1986,4.0,48837,Platoon,8.1
マザーズ,2016,2.6,96203,Shelley,5.3
グエムル 漢江の怪物,2006,3.3,1074,The Host,7.1
シングル・イン・ソウル,2023,3.7,102181,Single in Seoul,6.1
塔の上のラプンツェル,2010,3.9,54469,Tangled,7.7
RED SILK 血塗られた暗号,不明,-,,,
ソードフィッシュ,2001,3.5,1212,Swordfish,6.5
居眠り磐音,2019,3.7,89830,,
ラ・コシーナ／厨房,2024,3.2,101100,La cocina,7.0
ウーマン・トーキング 私たちの選択,2022,3.6,98565,Women Talking,6.9
六つの顔,2025,4.1,104083,,
スカーレット 復讐のダイヤモンド,2024,－,104097,Duchess </br,-
ブエノスアイレス,1997,3.8,48635,春光乍洩 Happy Together,-
異人たち,2023,3.4,100239,All of Us Strangers,7.6
きいろいゾウ,2013,2.7,58275,,
リアリティ,2023,3.3,100073,Reality,6.7
アドレナリン：フルスロットル,2024,2.5,102924,Get Fast </br,3.7
エイリアン,1979,4.1,5686,Alien,8.5
セプテンバー5,2024,3.6,102986,September 5,7.1
ゆとりですがなにか インターナショナル,2023,3.7,99336,,
映画 イチケイのカラス,2023,3.4,97492,,
盗月者,2024,3.7,102480,盜月者 The Moon Thieves,
2046,2004,3.0,1225,2046,7.4
Away,2019,3.5,91938,Away,6.7
ギミー・ヘブン,2004,1.6,1069,,
金の国 水の国,2023,3.8,97399,,
明日に向って撃て！,1969,4.0,3319,Butch Cassidy and the Sundance Kid,8.0
グラディエーターⅡ 英雄を呼ぶ声,2024,3.7,102038,Gladiator II,6.5
運び屋,2018,3.9,90319,The Mule,7.0
陪審員2番,2024,4.1,103047,Juror #2,7.0
科捜研の女 −劇場版−,2021,3.6,94346,,
花様年華,2000,3.8,1470,花様年華 In the Mood for Love,
ストレンジ・ダーリン,2023,3.6,103792,Strange Darling,7.0
ノスフェラトゥ,2024,3.1,103180,Nosferatu,7.1
ジェシー・ジェームズの暗殺,2007,3.1,53241,The Assassination of Jesse James by the Coward Robert Ford,7.5
セブン,1995,3.9,17531,Se7en,8.6
インタビュー・ウィズ・ヴァンパイア,1994,3.5,42514,Interview with the Vampire,7.5
トロイ,2004,3.6,1206,Troy,7.3
ヒットマン エージェント：ジュン,2020,3.5,93195,Hitman: Agent Jun,6.4
ヒットマン リサージェンス,2025,3.4,103591,Hitman 2,5.5
恋する惑星,1994,3.6,44299,重慶森林 Chungking Express,
サブスタンス,2024,3.8,101590,The Substance,7.2
ハリケーン,不明,-,,,
闇金ドッグスX 前編,2024,1.0,102007,,
ジュラシック・パーク,1993,4.1,45490,Jurassic Park,8.2
ロスト・ワールド ジュラシック・パーク,1997,3.0,51009,The Lost World: Jurassic Park,6.6
ジュラシック・パークⅢ,2001,3.2,1462,Jurassic Park III,6.0
ジュラシック・ワールド,2015,3.7,79542,Jurassic World,6.9
ジュラシック・ワールド／炎の王国,2018,3.4,86390,Jurassic World: Fallen Kingdom,6.1
ジュラシック・ワールド／新たなる支配者,2022,3.4,95217,Jurassic World: Dominion,5.6
ジュラシック・ワールド／復活の大地,2025,3.1,103408,Jurassic World: Rebirth,5.8
ゴッドマザー コシノアヤコの生涯,2025,3.7,100462,,
シン・仮面ライダー,2023,3.3,94843,,
もしも徳川家康が総理大臣になったら,2024,3.2,100771,,
366日,2024,3.5,102311,,
近畿地方のある場所について,2025,2.8,103059,,
罪人たち,2025,3.8,103795,Sinners,7.5
orange－オレンジ－,2015,3.5,82169,,
バースデーカード,2016,3.8,83974,,
手紙,2006,3.9,33720,,
ラーゲリより愛を込めて,2022,3.9,95937,,
35年目のラブレター,2025,4.1,101326,,
アンティル・ドーン,2025,3.0,103852,Until Dawn,5.7
キングダム,2019,3.9,89983,,
闇金ドッグスX 後編,2024,1.5,102008,,
ワンス・アンド・フォーエバー,2002,3.6,1578,We Were Soldiers,7.2
たそがれ清兵衛,2002,4.2,40621,,
300＜スリーハンドレッド＞,2007,3.5,1910,300,7.6
300＜スリーハンドレッド＞〜帝国の進撃〜,2014,3.2,77929,300: Rise of an Empire,6.2
大きな玉ねぎの下で,2025,4.0,102258,,
アメリカン・フィクション,2023,3.7,101122,American Fiction,7.5
ホワイトアウト,2009,2.9,53806,Whiteout,5.5
突然、君がいなくなって,2024,3.0,103651,When the Light Breaks,6.6
ネイキッド・タンゴ,1990,3.0,62885,Naked Tango,5.7
FOG OF WAR 見えざる真実,2025,2.7,104087,Fog of War,4.0
